patent_number,patent_title,patent_abstract,patent_date,patent_type
10524402,Method and apparatus for automated plan necrosis,"A method of real-time plant selection and removal from a plant field including capturing a first image of a first section of the plant field, segmenting the first image into regions indicative of individual plants within the first section, selecting the optimal plants for retention from the first image based on the first image and the previously thinned plant field sections, sending instructions to the plant removal mechanism for removal of the plants corresponding to the unselected regions of the first image from the second section before the machine passes the unselected regions, and repeating the aforementioned steps for a second section of the plant field adjacent the first section in the direction of machine travel.",2020-01-07,utility
10524406,Agricultural hitch with a system for management and guidance of operations and a method thereof,"An agricultural hitch with a system for management and guidance of maneuvers and a method employed by the hitch is provided. The hitch includes a tractor, an agricultural machine hitched by an articulated linkage, and a system for management and guidance of maneuvers, provided with a computing and control unit. The computing and control unit or of the hitched agricultural machine constitutes the master unit of the system for management and guidance of maneuvers, and is adapted to compute a set path for a maneuver to come, by employing an algorithm for prediction of paths and an algorithm for optimization of path settings, and to automatically execute the maneuver or of assisting in semiautomatic execution of the maneuver by steering the tractor and by recording, during maneuvering, the differences between the predefined set path and the real or currently estimated path.",2020-01-07,utility
10524407,"Crop row sensing on vehicle with multiple, independently steerable axles/wheels","An agricultural machine has a set of front wheels and a set of rear wheels that are independently steerable relative to one another. Distance sensors are mounted to the agricultural vehicle to sense a distance between the front wheels, and the adjacent row crops, and between the rear wheels, and the adjacent row crops. Automatic steering control signals are generated to automatically steer the front wheels, and rear wheels, based upon the sensed distances.",2020-01-07,utility
10524409,System and method for controlling agricultural product application based on residue coverage,"In one embodiment, one or more tangible, non-transitory, machine-readable media comprising instructions configured to cause a processor to receive a signal indicative of a residue coverage on a surface of an agricultural field from a sensor, and the sensor is positioned in front of a row unit of an agricultural product application system relative to a direction of travel. Further, the instructions are configured to cause the processor to determine the residue coverage on the surface of the agricultural field based on the signal, and the residue coverage includes a percentage of the agricultural field that is covered by residue, an evenness of the residue, or a combination thereof. Moreover, the instructions are configured to cause the processor to control an agricultural product control system of the agricultural product application system based on the residue coverage.",2020-01-07,utility
10524417,"Walk-behind, self-propelled machine","A walk-behind, self-propelled machine includes a clutch having a driving state where a motor drives wheels to rotate and an unlocked state where the wheels freely rotate relative to the motor. The clutch includes a movable member and a driving member. The movable member is capable of moving between a locked position where the clutch is in the driving state and an unlocked position where the clutch is in the unlocked state. The driving member transfers power to the wheels by means of friction. When the clutch is in the driving state, the motor drives the wheels to rotate in a first direction, when the motor stops rotating, the wheels rotate in a second direction opposite to the first direction and can drive the driving member to move by frictional force so that the driving member pushes the movable member to move from the locked position to the unlocked position, and after the motor (40) is turned off, the wheels rotate without driving a motor shaft to rotate, so that a relatively small force can push or pull the walk-behind, self-propelled machine.",2020-01-07,utility
10524426,Light sources adapted to spectral sensitivity of plant,A method of stimulating plant growth in a controlled environment that includes providing a lighting assembly having a network of lighting elements such as light emitting diodes (LEDs) that provide light at a color tailored for an individual plant. The lighting assembly is positioned adjacent a plant such that the light produced is received by the plant. The lighting assembly additionally has a control assembly that includes driving circuitry that modulates the lighting elements to controllably provide predetermined periods of light and dark to stimulate continuous growth of the plant.,2020-01-07,utility
10524433,Automated vertical plant cultivation system,"An automated plant cultivation system is provided having multi-tiered vertically arranged horizontal magazine structures each employing seed or plant capsules with a fluid circulation and illumination and communication network controlled by an on-board processor. Particularly, the system includes a magazine structure having seed/plant capsules within seed/plant reservoirs alternately arranged between at least one of a light source substantially concealed from direct viewing. A fluid channel extends across a long axis of the magazine structure, wherein the magazine structure is adapted for use of seed/plant capsules with nutrient composite plant growth cultivation, hydroponic plant growth cultivation, aeroponic plant growth cultivation methods or combinations thereof.",2020-01-07,utility
10524461,Pest detector to identify a type of pest using machine learning,"In some implementations, a detector may include one or more sensors, one or more external indicators, one or more processors, and one or more non-transitory computer readable media storing instructions that are executable by the one or more processors to perform various operations. The operations may include detecting, by a motion sensor, movement associated with the pest and capturing, by a sensor (e.g., an imaging sensor) of the detector, sensor data (e.g., a digital image) of the pest. The operations may include determining, by a machine learning algorithm, that the sensor data indicates a presence of a pest, and sending a notification message to a computing device. The notification message may include at least a portion of the sensor data. The operations may include visually indicating, using a pest indicator of the one or more external indicators, that the pest was detected.",2020-01-07,utility
10524494,"Method and a machine for producing puree, or juice, from food products with high production capacity","A machine for extracting puree, or fruit juice, from a product of animal or vegetable origin, provides a hollow body having a longitudinal axis. In the hollow body a sieve is mounted having a plurality of holes, in order to result co-axial to the hollow body same. The machine also includes a rotor mounted coaxially in the sieve and having a plurality of blades arranged to cause a centrifugal force to the product to treat, in order to separate it into a main product that crosses the sieve and that is discharged through a first outlet and into a waste material that, instead, cannot cross the sieve and is discharged through a second outlet.",2020-01-07,utility
10524599,Flexible straw and system and method of manufacturing the same,"A corrugating machine for forming a flexible paper drinking straw by forming annular corrugations in a tube, including a plurality of corrugating elements and means for moving the tube against the corrugating elements. Each of the corrugating elements is spaced apart from each other in both a lateral direction and a forward direction. The corrugating machine includes an assembly spool and a drum mounted to a side of the assembly spool for rotation about a common axis. A mandrel is mounted to the drum for reciprocation into and out of the spool assembly, to carry the tube against the corrugating elements mounted in an arc defined about the common axis.",2020-01-07,utility
10524605,Multistage steaming machine,A multistage steaming machine is configured such that a steam chamber main body portion in which steam is actually supplied to a group of noodle strings is provided with: a tunnel-shaped noodle introducing portion extending from the steam chamber main body portion in an obliquely downward direction; and a tunnel-shaped noodle discharging portion similarly extending from the steam chamber main body portion in an obliquely downward direction. A vertical position of an inlet end of the noodle introducing portion and a vertical position of an outlet end of the noodle discharging portion are lower than a vertical position of a lower end portion of the steam chamber main body portion.,2020-01-07,utility
10524622,Partitionable paper towel,"The present disclosure is directed to a paper towel product that will capably separate from the paper towel roll as a full sheet, a half sheet or a quarter sheet. A method of making a paper towel with machine direction perforations is also disclosed.",2020-01-07,utility
10524644,Augmented visualization for a surgical robot using a captured visible image combined with a fluorescence image and a captured visible image,An endoscope with an optical channel is held and positioned by a robotic surgical system. A capture unit captures (1) a visible first image at a first time and (2) a visible second image combined with a fluorescence image at a second time. An image processing system receives (1) the visible first image and (2) the visible second image combined with the fluorescence image and generates at least one fluorescence image. A display system outputs an output image including an artificial fluorescence image.,2020-01-07,utility
10524675,Modular personal network systems and methods,"Modular personal networks (MPNs) are disclosed that include multiple devices that may be worn, carried, or used in close proximity to a user. The devices communicate wirelessly. Devices include security circuitry that prevents them from being used in a different MPN once the user has configured them. Devices not designed for use within an MPN can be included in the network using a bridge device. Devices can be integrated into items of jewelry, such as earrings, rings, pendants, and bracelets. One item of jewelry, such as a bracelet, can support multiple replaceable modules with variable functions. Functions of the MPN can include communications, entertainment, medical monitoring, sports monitoring, personal organization, and games. Multiple users each with his or her own MPN can use them to collaborate in creation of music. An MPN can be used for mobile recognition and logging of wildlife.",2020-01-07,utility
10524683,EEG-based brain-machine interface apparatus and method for recognizing human-intention using flickering visual stimulus,"A brain-machine interface apparatus and a method of the same are provided. To elaborate the brain-machine interface apparatus may include a display where a plurality of light-emitting points (or lines) flickering with their individual set frequencies are arranged a flickering controller that divides the plurality of the light-emitting points (or lines) into a plurality of groups, and sets the set frequencies for the groups; an EEG measurement unit that detects EEG signals of a user who watches the display without gaze-shift; a frequency detector that detects one or more (their harmonic or combination) frequency components from the measured EEG signals; a shape analysis unit that decodes an originally intended shape according to the user's imagination based on the one or more detected frequency components and the set frequencies; and a result output unit that outputs information of the embodied originally intended shape.",2020-01-07,utility
10524718,Deformity correction using neural integrity monitoring,A method is provided for detecting neural interference between a bone anchor and a neural element during or subsequent to the application of force on the bone anchor to adjust the orientation of one or more vertebral bodies relative to the spinal column. The method includes engaging at least one bone anchor to the vertebral body and applying force to the bone anchor to adjust the positioning or orientation of the vertebral body. A nerve monitoring system provides an electrical signal and is operable to detect a neural element and its proximity to the bone anchor as a function of a characteristic of the electrical signal.,2020-01-07,utility
